id,title,release_date,developer,genres,price,reviews,percent_positive
0,Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,6774812,0.88
1,Dota 2,2013-07-09,Valve,Action;Free to Play;Strategy,0.0,1885261,0.82
3,Call of Duty®: Modern Warfare® II,2022-10-28,Infinity Ward,"Action,Shooter,",309.94,215969,0.64
4,Apex Legends,2019-02-04,Respawn Entertainment,"Action,Battle royale,FPS,",0.0,539297,0.85
6,NARAKA: BLADEPOINT,2021-08-12,24 Entertainment,"Battle royale,",74.34,130245,0.73
7,Dead by Daylight,2016-06-14,Behaviour Digital Inc.,Action,46.44,453698,0.81
8,Warframe,2013-03-25,Digital Extremes,Action;Free to Play,0.0,512887,0.87
9,War Thunder,2013-08-15,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Simulation,0.0,28437,0.48
11,Grand Theft Auto V,2015-04-13,Rockstar North,Action;Adventure,0.0,349924,0.78
12,Football Manager 2023,2022-11-08,Sports Interactive,"Sports,Strategy,Business,",198.34,1314359,0.85
13,ELDEN RING,2022-02-25,FromSoftware,"Action,RPG,",154.94,4071,0.85
14,The Elder Scrolls® Online,2017-05-22,Zenimax Online Studios,Massively Multiplayer;RPG,99.14,443174,0.91
15,Destiny 2,2017-10-24,Bungie,"Action,FPS,",0.0,506694,0.83
16,RimWorld,2018-10-17,Ludeon Studios,Indie;Simulation;Strategy,68.14,104886,0.83
17,Rust,2018-02-08,Facepunch Studios,Action;Adventure;Indie;Massively Multiplayer;RPG,111.54,125211,0.98
18,Euro Truck Simulator 2,2012-10-12,SCS Software,Indie;Simulation,57.35,209179,0.69
19,UNDECEMBER,2022-10-12,Needs Games,"ARPG,",0.0,920316,0.87
20,God of War,2022-01-14,Santa Monica Studio,"ARPG,Adventure,Hack and slash,",204.54,4415,0.94
21,New World,2021-09-28,Amazon Game Studios Orange County,"Action,Adventure,MMORPG,",92.94,12751,0.48
22,Marvels Spider-Man: Miles Morales,2022-11-18,Insomniac Games,"Action,Open world,",204.54,52114,0.97
23,Tom Clancy's Rainbow Six® Siege,2015-12-01,Ubisoft Montreal,Action,61.94,430129,0.97
25,FINAL FANTASY XIV Online,2014-02-18,Square Enix,Massively Multiplayer;RPG,44.58,52459,0.77
27,Cities: Skylines,2015-03-10,Colossal Order Ltd.,Simulation;Strategy,55.74,920119,0.93
28,NBA 2K23,2022-09-08,Visual Concepts,"Sports,",204.54,76795,0.86
29,The Sims 4,2014-09-02,Maxis,"Life sim,",0.0,157822,0.93
30,Forza Horizon 5,2021-11-09,Playground Games,"Open world,Racing,",216.94,218381,0.9
31,Project Zomboid,2013-11-08,The Indie Stone,Indie;RPG;Simulation;Early Access,32.8,7817,0.57
32,Team Fortress 2,2007-10-10,Valve,Action;Free to Play,0.0,88790,0.88
34,Sea of Thieves,2018-03-20,Rare,"Action,MMORPG,",55.74,109174,0.93
36,World of Warships,2017-11-15,Wargaming Group Limited,Action;Free to Play;Massively Multiplayer;Simulation,0.0,409097,0.97
37,Raft,2018-05-23,Redbeet Interactive,Adventure;Indie;Simulation;Early Access,35.03,204591,0.93
38,Victoria 3,2022-10-25,Paradox Development Studio,"Strategy,Simulation,",153.7,9470,0.95
40,Sonic Frontiers,2022-11-08,Sonic Team,"Action,Open world,Platform,",216.94,16434,0.66
